Základný číselník,Kód číselnika,Názov číselníka,Ang. názov číselníka,URI číselníka,Hlavný gestor,Vedľajší gestor,Zdrojový číselnik,Dátum platnosti,Začiatok účinnosti,Koniec účinnosti,Poznámka,Kód položky,Názov položky,Ang. názov položky,Skrátený názov položky,Ang. skrátený nazov položky,Skratka názvu položky,Ang. skratka názvu položky,URI polozky,Doplňujúci obsah,Merná jednotka,Poznámka pre položku,Zahŕňa,Tiež zahŕňa,Vylučuje,Začiatok účinnosti položky,Koniec účinnosti položky,Logické poradie položky,Legislatívna uznateľnosť
ano,CL000023,Regionálna štatistická územná jednotka 3 - kraj,Regional statistical local unit 3 - region,https://data.gov.sk/set/codelistCL000023,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0023.,2025-09-29,2015-07-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. 137/2015 Z. z., ktorým sa mení a dopĺňa výnos č. 55/2014  o štandardoch pre informačné systémy verejnej správy v znení výnosu č. 276/2014 Z. z.
V atribúte pre doplňujúci obsah položky je kód kraja podľa číselníka Štatistického úradu SR č. 0049.
",SKZZ,Extra-regio,Extra-regio,Zahraničie,Zahraničie,,,,,,,,,,2013-01-01,2014-09-22,,ano
ano,CL000023,Regionálna štatistická územná jednotka 3 - kraj,Regional statistical local unit 3 - region,https://data.gov.sk/set/codelistCL000023,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0023.,2025-09-29,2015-07-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. 137/2015 Z. z., ktorým sa mení a dopĺňa výnos č. 55/2014  o štandardoch pre informačné systémy verejnej správy v znení výnosu č. 276/2014 Z. z.
V atribúte pre doplňujúci obsah položky je kód kraja podľa číselníka Štatistického úradu SR č. 0049.
",SKZZZ,Zahraničie,Extra-regio,Zahraničie,Zahraničie,,,https://data.gov.sk/def/nuts3/SKZZZ,,,,,,,2014-09-23,,11,ano
ano,CL000023,Regionálna štatistická územná jednotka 3 - kraj,Regional statistical local unit 3 - region,https://data.gov.sk/set/codelistCL000023,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0023.,2025-09-29,2015-07-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. 137/2015 Z. z., ktorým sa mení a dopĺňa výnos č. 55/2014  o štandardoch pre informačné systémy verejnej správy v znení výnosu č. 276/2014 Z. z.
V atribúte pre doplňujúci obsah položky je kód kraja podľa číselníka Štatistického úradu SR č. 0049.
",SK010,Bratislavský kraj,Region of Bratislava,Bratislavský kraj,Bratislavský kraj,,,https://data.gov.sk/def/nuts3/SK010,1,,,,,,2004-08-01,,12,ano
ano,CL000023,Regionálna štatistická územná jednotka 3 - kraj,Regional statistical local unit 3 - region,https://data.gov.sk/set/codelistCL000023,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0023.,2025-09-29,2015-07-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. 137/2015 Z. z., ktorým sa mení a dopĺňa výnos č. 55/2014  o štandardoch pre informačné systémy verejnej správy v znení výnosu č. 276/2014 Z. z.
V atribúte pre doplňujúci obsah položky je kód kraja podľa číselníka Štatistického úradu SR č. 0049.
",SK021,Trnavský kraj,Region of Trnava,Trnavský kraj,Trnavský kraj,,,https://data.gov.sk/def/nuts3/SK021,2,,,,,,2004-08-01,,13,ano
ano,CL000023,Regionálna štatistická územná jednotka 3 - kraj,Regional statistical local unit 3 - region,https://data.gov.sk/set/codelistCL000023,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0023.,2025-09-29,2015-07-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. 137/2015 Z. z., ktorým sa mení a dopĺňa výnos č. 55/2014  o štandardoch pre informačné systémy verejnej správy v znení výnosu č. 276/2014 Z. z.
V atribúte pre doplňujúci obsah položky je kód kraja podľa číselníka Štatistického úradu SR č. 0049.
",SK022,Trenčiansky kraj,Region of Trenčín,Trenčiansky kraj,Trenčiansky kraj,,,https://data.gov.sk/def/nuts3/SK022,3,,,,,,2004-08-01,,14,ano
ano,CL000023,Regionálna štatistická územná jednotka 3 - kraj,Regional statistical local unit 3 - region,https://data.gov.sk/set/codelistCL000023,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0023.,2025-09-29,2015-07-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. 137/2015 Z. z., ktorým sa mení a dopĺňa výnos č. 55/2014  o štandardoch pre informačné systémy verejnej správy v znení výnosu č. 276/2014 Z. z.
V atribúte pre doplňujúci obsah položky je kód kraja podľa číselníka Štatistického úradu SR č. 0049.
",SK023,Nitriansky kraj,Region of Nitra,Nitriansky kraj,Nitriansky kraj,,,https://data.gov.sk/def/nuts3/SK023,4,,,,,,2004-08-01,,15,ano
ano,CL000023,Regionálna štatistická územná jednotka 3 - kraj,Regional statistical local unit 3 - region,https://data.gov.sk/set/codelistCL000023,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0023.,2025-09-29,2015-07-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. 137/2015 Z. z., ktorým sa mení a dopĺňa výnos č. 55/2014  o štandardoch pre informačné systémy verejnej správy v znení výnosu č. 276/2014 Z. z.
V atribúte pre doplňujúci obsah položky je kód kraja podľa číselníka Štatistického úradu SR č. 0049.
",SK031,Žilinský kraj,Region of Žilina,Žilinský kraj,Žilinský kraj,,,https://data.gov.sk/def/nuts3/SK031,5,,,,,,2004-08-01,,16,ano
ano,CL000023,Regionálna štatistická územná jednotka 3 - kraj,Regional statistical local unit 3 - region,https://data.gov.sk/set/codelistCL000023,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0023.,2025-09-29,2015-07-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. 137/2015 Z. z., ktorým sa mení a dopĺňa výnos č. 55/2014  o štandardoch pre informačné systémy verejnej správy v znení výnosu č. 276/2014 Z. z.
V atribúte pre doplňujúci obsah položky je kód kraja podľa číselníka Štatistického úradu SR č. 0049.
",SK032,Banskobystrický kraj,Region of Banská Bystrica,Banskobystrický kraj,Banskobystrický kraj,,,https://data.gov.sk/def/nuts3/SK032,6,,,,,,2004-08-01,,17,ano
ano,CL000023,Regionálna štatistická územná jednotka 3 - kraj,Regional statistical local unit 3 - region,https://data.gov.sk/set/codelistCL000023,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0023.,2025-09-29,2015-07-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. 137/2015 Z. z., ktorým sa mení a dopĺňa výnos č. 55/2014  o štandardoch pre informačné systémy verejnej správy v znení výnosu č. 276/2014 Z. z.
V atribúte pre doplňujúci obsah položky je kód kraja podľa číselníka Štatistického úradu SR č. 0049.
",SK041,Prešovský kraj,Region of Prešov,Prešovský kraj,Prešovský kraj,,,https://data.gov.sk/def/nuts3/SK041,7,,,,,,2004-08-01,,18,ano
ano,CL000023,Regionálna štatistická územná jednotka 3 - kraj,Regional statistical local unit 3 - region,https://data.gov.sk/set/codelistCL000023,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0023.,2025-09-29,2015-07-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. 137/2015 Z. z., ktorým sa mení a dopĺňa výnos č. 55/2014  o štandardoch pre informačné systémy verejnej správy v znení výnosu č. 276/2014 Z. z.
V atribúte pre doplňujúci obsah položky je kód kraja podľa číselníka Štatistického úradu SR č. 0049.
",SK042,Košický kraj,Region of Košice,Košický kraj,Košický kraj,,,https://data.gov.sk/def/nuts3/SK042,8,,,,,,2004-08-01,,19,ano
