Základný číselník,Kód číselnika,Názov číselníka,Ang. názov číselníka,URI číselníka,Hlavný gestor,Vedľajší gestor,Zdrojový číselnik,Dátum platnosti,Začiatok účinnosti,Koniec účinnosti,Poznámka,Kód položky,Názov položky,Ang. názov položky,Skrátený názov položky,Ang. skrátený nazov položky,Skratka názvu položky,Ang. skratka názvu položky,URI polozky,Doplňujúci obsah,Merná jednotka,Poznámka pre položku,Zahŕňa,Tiež zahŕňa,Vylučuje,Začiatok účinnosti položky,Koniec účinnosti položky,Logické poradie položky,Legislatívna uznateľnosť
ano,CL000025,Lokálna štatistická územná jednotka 2 – obec,Local statistical territorial unit 2 - municipality,,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0025.,2019-01-11,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
 V 1. atribúte pre doplňujúci obsah položky je kód obce podľa číselníka Štatistického úradu SR č. 0051. V 2. atribúte pre doplňujúci obsah položky je názov obce v jazyku národnostnej menšiny. Názvy obcí v rusínskom a ukrajinskom jazyku sú zapísané latinkou. Uvedenie týchto názvov má iba informatívny charakter.",SK031B517429,Belá,Belá,Belá,Belá,,,https://data.gov.sk/def/lau2/SK031B517429,517429,,,,,,2008-10-01,,,ano
ano,CL000025,Lokálna štatistická územná jednotka 2 – obec,Local statistical territorial unit 2 - municipality,,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0025.,2019-01-11,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
 V 1. atribúte pre doplňujúci obsah položky je kód obce podľa číselníka Štatistického úradu SR č. 0051. V 2. atribúte pre doplňujúci obsah položky je názov obce v jazyku národnostnej menšiny. Názvy obcí v rusínskom a ukrajinskom jazyku sú zapísané latinkou. Uvedenie týchto názvov má iba informatívny charakter.",SK0323508993,Sihla,Sihla,Sihla,Sihla,,,https://data.gov.sk/def/lau2/SK0323508993,508993,,,,,,2008-10-01,,,ano
ano,CL000025,Lokálna štatistická územná jednotka 2 – obec,Local statistical territorial unit 2 - municipality,,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0025.,2019-01-11,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
 V 1. atribúte pre doplňujúci obsah položky je kód obce podľa číselníka Štatistického úradu SR č. 0051. V 2. atribúte pre doplňujúci obsah položky je názov obce v jazyku národnostnej menšiny. Názvy obcí v rusínskom a ukrajinskom jazyku sú zapísané latinkou. Uvedenie týchto názvov má iba informatívny charakter.",SK0325518301,Dolné Mladonice,Dolné Mladonice,Dolné Mladonice,Dolné Mladonice,,,https://data.gov.sk/def/lau2/SK0325518301,518301,,,,,,2008-10-01,,,ano
ano,CL000025,Lokálna štatistická územná jednotka 2 – obec,Local statistical territorial unit 2 - municipality,,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0025.,2019-01-11,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
 V 1. atribúte pre doplňujúci obsah položky je kód obce podľa číselníka Štatistického úradu SR č. 0051. V 2. atribúte pre doplňujúci obsah položky je názov obce v jazyku národnostnej menšiny. Názvy obcí v rusínskom a ukrajinskom jazyku sú zapísané latinkou. Uvedenie týchto názvov má iba informatívny charakter.",SK0325518832,Sudince,Sudince,Sudince,Sudince,,,https://data.gov.sk/def/lau2/SK0325518832,518832,,,,,,2008-10-01,,,ano
ano,CL000025,Lokálna štatistická územná jednotka 2 – obec,Local statistical territorial unit 2 - municipality,,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0025.,2019-01-11,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
 V 1. atribúte pre doplňujúci obsah položky je kód obce podľa číselníka Štatistického úradu SR č. 0051. V 2. atribúte pre doplňujúci obsah položky je názov obce v jazyku národnostnej menšiny. Názvy obcí v rusínskom a ukrajinskom jazyku sú zapísané latinkou. Uvedenie týchto názvov má iba informatívny charakter.",SK0326511781,Prša,Prša,Prša,Prša,,,https://data.gov.sk/def/lau2/SK0326511781,511781,,,,,,2008-10-01,,,ano
ano,CL000025,Lokálna štatistická územná jednotka 2 – obec,Local statistical territorial unit 2 - municipality,,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0025.,2019-01-11,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
 V 1. atribúte pre doplňujúci obsah položky je kód obce podľa číselníka Štatistického úradu SR č. 0051. V 2. atribúte pre doplňujúci obsah položky je názov obce v jazyku národnostnej menšiny. Názvy obcí v rusínskom a ukrajinskom jazyku sú zapísané latinkou. Uvedenie týchto názvov má iba informatívny charakter.",SK0326557331,Gregorova Vieska,Gregorova Vieska,Gregorova Vieska,Gregorova Vieska,,,https://data.gov.sk/def/lau2/SK0326557331,557331,,,,,,2008-10-01,,,ano
ano,CL000025,Lokálna štatistická územná jednotka 2 – obec,Local statistical territorial unit 2 - municipality,,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0025.,2019-01-11,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
 V 1. atribúte pre doplňujúci obsah položky je kód obce podľa číselníka Štatistického úradu SR č. 0051. V 2. atribúte pre doplňujúci obsah položky je názov obce v jazyku národnostnej menšiny. Názvy obcí v rusínskom a ukrajinskom jazyku sú zapísané latinkou. Uvedenie týchto názvov má iba informatívny charakter.",SK0328525766,Hucín,Hucín,Hucín,Hucín,,,https://data.gov.sk/def/lau2/SK0328525766,525766,,,,,,2008-10-01,,,ano
ano,CL000025,Lokálna štatistická územná jednotka 2 – obec,Local statistical territorial unit 2 - municipality,,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0025.,2019-01-11,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
 V 1. atribúte pre doplňujúci obsah položky je kód obce podľa číselníka Štatistického úradu SR č. 0051. V 2. atribúte pre doplňujúci obsah položky je názov obce v jazyku národnostnej menšiny. Názvy obcí v rusínskom a ukrajinskom jazyku sú zapísané latinkou. Uvedenie týchto názvov má iba informatívny charakter.",SK0328526142,Revúca,Revúca,Revúca,Revúca,,,https://data.gov.sk/def/lau2/SK0328526142,526142,,,,,,2008-10-01,,,ano
ano,CL000025,Lokálna štatistická územná jednotka 2 – obec,Local statistical territorial unit 2 - municipality,,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0025.,2019-01-11,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
 V 1. atribúte pre doplňujúci obsah položky je kód obce podľa číselníka Štatistického úradu SR č. 0051. V 2. atribúte pre doplňujúci obsah položky je názov obce v jazyku národnostnej menšiny. Názvy obcí v rusínskom a ukrajinskom jazyku sú zapísané latinkou. Uvedenie týchto názvov má iba informatívny charakter.",SK0235504025,Šaľa,Šaľa,Šaľa,Šaľa,,,https://data.gov.sk/def/lau2/SK0235504025,504025,,,,,,2008-10-01,,,ano
ano,CL000025,Lokálna štatistická územná jednotka 2 – obec,Local statistical territorial unit 2 - municipality,,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0025.,2019-01-11,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
 V 1. atribúte pre doplňujúci obsah položky je kód obce podľa číselníka Štatistického úradu SR č. 0051. V 2. atribúte pre doplňujúci obsah položky je názov obce v jazyku národnostnej menšiny. Názvy obcí v rusínskom a ukrajinskom jazyku sú zapísané latinkou. Uvedenie týchto názvov má iba informatívny charakter.",SK0235504068,Tešedíkovo,Tešedíkovo,Tešedíkovo,Tešedíkovo,,,https://data.gov.sk/def/lau2/SK0235504068,504068,,,,,,2008-10-01,,,ano
